compound_id,role,canonical_smiles,MW,logP,HBD,HBA,TPSA,rotatable_bonds,Lipinski_violations,Lipinski_pass,PAINS_pass,PAINS_alerts,Brenk_pass,Brenk_alerts,SA_score,QED,Tanimoto_to_K5K,Tanimoto_to_K58,max_Tanimoto_to_K58_or_K5K,novelty_score_1_minus_max_Tanimoto
K58,key benchmark,C[C@@H](NC(=O)c1cc(-c2ccccc2)nn1C)c1ccc(C(=O)O)cc1,349.39000000000004,3.2763000000000018,2,4,84.22,5,0,True,True,,True,,2.3982465751353903,0.7402726920461972,0.24050632911392406,1.0,0.24050632911392406,0.759493670886076
K5K,seed/reference,Cc1cc2c(cc(C(=O)N[C@H](CO)c3ccc(S(=O)(=O)CC(=O)O)cc3)n2C)c(Cl)c1Cl,499.3720000000002,3.1152200000000008,3,6,125.7,7,0,True,True,,True,,3.1933805557124337,0.4588821236140459,1.0,0.24050632911392406,0.24050632911392406,0.759493670886076
r2b2_107,generated candidate,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)P(=O)(O)C[C@H](C(=O)O)c1cccc(CN)c1,530.5830000000002,4.211500000000002,4,5,146.79,11,1,False,True,,False,phosphor,3.5435115030502713,0.27159134973852084,0.2087912087912088,0.225,0.225,0.775
