input_id,affinity_affinity_pred_value,affinity_affinity_pred_value1,affinity_affinity_pred_value2,affinity_affinity_probability_binary,affinity_affinity_probability_binary1,affinity_affinity_probability_binary2,confidence_complex_ipde,confidence_complex_iplddt,confidence_complex_pde,confidence_complex_plddt,confidence_confidence_score,confidence_iptm,confidence_ligand_iptm,confidence_protein_iptm,confidence_ptm
3PG,1.88699209690094,2.068063735961914,1.7059204578399658,0.48329633474349976,0.5739583373069763,0.3926343023777008,1.397318720817566,0.838032066822052,0.3615216910839081,0.9499773383140564,0.944013237953186,0.9201568961143494,0.9201568961143494,0.0,0.9198440313339233
CBR5884,0.0696173757314682,0.1206982284784317,0.018536515533924103,0.6291985511779785,0.750855565071106,0.5075415968894958,0.6401164531707764,0.8624361753463745,0.3149202764034271,0.9493537545204163,0.952357292175293,0.9643716812133789,0.9643716812133789,0.0,0.9283450245857239
HMT,0.5493262410163879,1.0977026224136353,0.0009498447179794312,0.32460901141166687,0.35401076078414917,0.29520726203918457,1.4823747873306274,0.8171240091323853,0.45085734128952026,0.9334395527839661,0.9314315915107727,0.9233997464179993,0.9233997464179993,0.0,0.8972688317298889
K58,0.03515966236591339,0.31372159719467163,-0.24340227246284485,0.8109084367752075,0.8196477890014648,0.8021690845489502,0.45921915769577026,0.9441127181053162,0.29729828238487244,0.9640811085700989,0.9683087468147278,0.9852190613746643,0.9852190613746643,0.0,0.9400560855865479
K5K,-1.787034273147583,-1.1827143430709839,-2.3913540840148926,0.9501336216926575,0.9489936828613281,0.9512735605239868,0.42056822776794434,0.9516028165817261,0.3027392327785492,0.9662996530532837,0.9702744483947754,0.9861738085746765,0.9861738085746765,0.0,0.9311562180519104
NAI,0.8789101839065552,0.6771659255027771,1.080654501914978,0.6247870922088623,0.7735338807106018,0.4760403633117676,0.4497183561325073,0.9499307870864868,0.3161989748477936,0.9670877456665039,0.9712617993354797,0.987957775592804,0.987957775592804,0.0,0.9297556281089783
NCT503,1.6239304542541504,1.8454941511154175,1.4023666381835938,0.2899117171764374,0.19489596784114838,0.3849274516105652,1.5032901763916016,0.8337450623512268,0.4071148931980133,0.9407544732093811,0.9410605430603027,0.9422848224639893,0.9422848224639893,0.0,0.9202580451965332
ONS,-1.8150708675384521,-1.3789204359054565,-2.251221179962158,0.9659343957901001,0.9800567030906677,0.9518120288848877,0.45602893829345703,0.9450913667678833,0.3164341151714325,0.964106559753418,0.9683119654655457,0.9851335883140564,0.9851335883140564,0.0,0.9078240990638733
ONV,-1.0162416696548462,-0.932746410369873,-1.0997369289398193,0.812230110168457,0.7956078052520752,0.8288524746894836,0.506982684135437,0.932532012462616,0.3247249722480774,0.9628446698188782,0.9661033749580383,0.9791383743286133,0.9791383743286133,0.0,0.9018486738204956
WQ2101,0.5837525129318237,0.30057430267333984,0.8669307827949524,0.6284650564193726,0.6950012445449829,0.561928927898407,1.4567168951034546,0.7979307770729065,0.40235650539398193,0.9396580457687378,0.9273731112480164,0.8782336711883545,0.8782336711883545,0.0,0.9244956970214844
