input_id,affinity_affinity_pred_value,affinity_affinity_pred_value1,affinity_affinity_pred_value2,affinity_affinity_probability_binary,affinity_affinity_probability_binary1,affinity_affinity_probability_binary2,confidence_complex_ipde,confidence_complex_iplddt,confidence_complex_pde,confidence_complex_plddt,confidence_confidence_score,confidence_iptm,confidence_ligand_iptm,confidence_protein_iptm,confidence_ptm
r2b2_000,0.836279034614563,1.3137160539627075,0.35884201526641846,0.25842469930648804,0.28028467297554016,0.2365647256374359,0.835832417011261,0.8712403774261475,0.3630947172641754,0.9494678378105164,0.9466872215270996,0.9355648159980774,0.9355648159980774,0.0,0.9128392338752747
r2b2_001,1.6030443906784058,2.0573782920837402,1.1487104892730713,0.10528227686882019,0.09767366200685501,0.11289088428020477,0.6394094824790955,0.9030880928039551,0.34744498133659363,0.9507840275764465,0.954319953918457,0.9684638977050781,0.9684638977050781,0.0,0.9134481549263
r2b2_002,0.9281749725341797,1.652152419090271,0.20419755578041077,0.2471078634262085,0.3585268557071686,0.1356888711452484,0.7059094905853271,0.9119518399238586,0.3320598602294922,0.9579979777336121,0.9588495492935181,0.9622558355331421,0.9622558355331421,0.0,0.926898717880249
r2b2_003,0.3105795085430145,0.23226431012153625,0.3888947069644928,0.3980846405029297,0.5578662753105164,0.23830297589302063,0.9073226451873779,0.8720704317092896,0.3714452087879181,0.9516164064407349,0.9476043581962585,0.9315564036369324,0.9315564036369324,0.0,0.8992699980735779
r2b2_004,1.7770228385925293,2.2509145736694336,1.3031312227249146,0.17067214846611023,0.18426354229450226,0.1570807546377182,0.6351492404937744,0.9200088381767273,0.33774206042289734,0.9553015232086182,0.9588756561279297,0.9731723070144653,0.9731723070144653,0.0,0.9271429777145386
r2b2_005,1.4313809871673584,1.6177923679351807,1.2449694871902466,0.1262022852897644,0.0689672902226448,0.1834372878074646,0.771554172039032,0.8317824006080627,0.3306283950805664,0.9429014921188354,0.9457511305809021,0.9571493864059448,0.9571493864059448,0.0,0.9214280843734741
r2b2_006,0.7693889737129211,1.2548835277557373,0.28389444947242737,0.42286592721939087,0.42196357250213623,0.4237683117389679,0.5922070145606995,0.8811506032943726,0.3342086374759674,0.9497965574264526,0.9519862532615662,0.9607447385787964,0.9607447385787964,0.0,0.9213336706161499
r2b2_007,0.8370148539543152,1.5182609558105469,0.1557687371969223,0.3976331949234009,0.30733999609947205,0.4879263937473297,0.8654913902282715,0.8655805587768555,0.35375145077705383,0.9496623277664185,0.947908878326416,0.9408950805664062,0.9408950805664062,0.0,0.924672544002533
r2b2_008,1.5322331190109253,1.4365426301956177,1.627923607826233,0.30665624141693115,0.2989967465400696,0.3143157362937927,1.4267722368240356,0.8667280077934265,0.42828860878944397,0.9476222395896912,0.9409464001655579,0.9142429828643799,0.9142429828643799,0.0,0.9065077304840088
r2b2_009,1.2579838037490845,1.574880599975586,0.941087007522583,0.3497006893157959,0.4819711744785309,0.21743018925189972,0.8285958766937256,0.8778515458106995,0.35810741782188416,0.9493556618690491,0.9442769885063171,0.9239624738693237,0.9239624738693237,0.0,0.9155479073524475
r2b2_010,0.40485063195228577,0.6875547170639038,0.12214654684066772,0.5606108903884888,0.7698946595191956,0.3513270616531372,0.7228424549102783,0.8891427516937256,0.3279089331626892,0.9534947276115417,0.9542228579521179,0.9571353197097778,0.9571353197097778,0.0,0.9226559996604919
r2b2_011,-0.17847925424575806,-0.9433090090751648,0.5863505005836487,0.3981897532939911,0.5863498449325562,0.21002966165542603,0.8699592351913452,0.8527668118476868,0.35443586111068726,0.9473463892936707,0.9469988942146301,0.9456090331077576,0.9456090331077576,0.0,0.9117728471755981
r2b2_012,0.33118170499801636,0.36851558089256287,0.29384779930114746,0.2418116331100464,0.1673966497182846,0.316226601600647,0.5488120913505554,0.9245208501815796,0.33088865876197815,0.958482563495636,0.9630470275878906,0.9813047647476196,0.9813047647476196,0.0,0.9218536019325256
r2b2_013,0.9997164607048035,0.06694752722978592,1.9324853420257568,0.3806343078613281,0.5426238179206848,0.21864476799964905,0.9321593642234802,0.8732612133026123,0.3609023988246918,0.9506428241729736,0.9516887664794922,0.9558724164962769,0.9558724164962769,0.0,0.9142887592315674
r2b2_014,1.1191080808639526,0.7541025876998901,1.4841135740280151,0.20268675684928894,0.18943190574645996,0.2159416228532791,1.3191473484039307,0.8952968716621399,0.38478150963783264,0.9573596119880676,0.9502325057983398,0.9217240214347839,0.9217240214347839,0.0,0.9221588969230652
r2b2_015,0.18669353425502777,0.667860209941864,-0.29447314143180847,0.39240747690200806,0.4697847366333008,0.31503018736839294,0.578072190284729,0.8761734366416931,0.326707124710083,0.9469519257545471,0.9515355229377747,0.9698700308799744,0.9698700308799744,0.0,0.9228271842002869
r2b2_016,0.5305109024047852,1.188486933708191,-0.1274651288986206,0.3257490396499634,0.3684963881969452,0.28300169110298157,0.8366348147392273,0.9100164771080017,0.36441588401794434,0.957822322845459,0.9540988802909851,0.9392052888870239,0.9392052888870239,0.0,0.9133635759353638
r2b2_017,1.0651943683624268,0.9497197866439819,1.1806690692901611,0.17002493143081665,0.19630369544029236,0.14374618232250214,0.9047862887382507,0.8472392559051514,0.36710312962532043,0.9436880946159363,0.9380722045898438,0.915608823299408,0.915608823299408,0.0,0.9195050001144409
r2b2_018,1.4757359027862549,1.9295355081558228,1.0219361782073975,0.0913839191198349,0.06734734773635864,0.11542049050331116,1.7566579580307007,0.8471449017524719,0.4263259768486023,0.9485348463058472,0.9359031915664673,0.885376513004303,0.885376513004303,0.0,0.9144935011863708
r2b2_019,0.6059143543243408,0.1441965103149414,1.0676321983337402,0.12518681585788727,0.10753569006919861,0.14283794164657593,0.6790991425514221,0.8837947845458984,0.3291899561882019,0.9529104232788086,0.9548708200454712,0.9627123475074768,0.9627123475074768,0.0,0.9243834018707275
r2b2_020,0.8328468799591064,1.0991346836090088,0.5665590763092041,0.09525053203105927,0.06901228427886963,0.1214887797832489,1.9058773517608643,0.9241893887519836,0.43597903847694397,0.9602401256561279,0.9556531310081482,0.9373048543930054,0.9373048543930054,0.0,0.9215176701545715
r2b2_021,2.5019400119781494,2.1608405113220215,2.8430395126342773,0.28979265689849854,0.3231998383998871,0.2563854455947876,0.7391161322593689,0.8459057807922363,0.37090355157852173,0.9401736259460449,0.9422323107719421,0.9504672884941101,0.9504672884941101,0.0,0.9028857350349426
r2b2_022,1.3985427618026733,1.7454720735549927,1.051613450050354,0.2007964551448822,0.18522796034812927,0.21636496484279633,1.995995044708252,0.8685734868049622,0.45755454897880554,0.9491897225379944,0.9432865381240845,0.919673502445221,0.919673502445221,0.0,0.9073446393013
r2b2_023,0.9005070924758911,1.3595881462097168,0.44142600893974304,0.13853652775287628,0.1425742506980896,0.13449880480766296,2.709568738937378,0.8002244234085083,0.5153343081474304,0.9330400228500366,0.9237537384033203,0.8866087794303894,0.8866087794303894,0.0,0.9001275897026062
r2b2_024,1.6539976596832275,1.9866291284561157,1.3213660717010498,0.14600418508052826,0.1150478720664978,0.17696049809455872,0.9954760670661926,0.8281965851783752,0.37956270575523376,0.939268171787262,0.9374355673789978,0.9301051497459412,0.9301051497459412,0.0,0.9228589534759521
r2b2_025,0.26703616976737976,0.3379368185997009,0.1961355358362198,0.26529040932655334,0.22113454341888428,0.3094462752342224,0.5816656947135925,0.9278444051742554,0.3126402497291565,0.9638521075248718,0.965414822101593,0.9716657400131226,0.9716657400131226,0.0,0.9330359697341919
r2b2_026,1.1686267852783203,1.271869421005249,1.0653841495513916,0.2010185569524765,0.21323728561401367,0.18879982829093933,0.5976454615592957,0.922408938407898,0.3140067458152771,0.9619520306587219,0.9646398425102234,0.9753913283348083,0.9753913283348083,0.0,0.9298133254051208
r2b2_027,1.0751880407333374,1.8175652027130127,0.3328108489513397,0.062348105013370514,0.07150588184595108,0.053190331906080246,1.4772826433181763,0.872085452079773,0.4077981114387512,0.9475108981132507,0.9462947845458984,0.9414300918579102,0.9414300918579102,0.0,0.9094101190567017
r2b2_028,1.0774006843566895,1.607420802116394,0.5473805665969849,0.06507200002670288,0.07382487505674362,0.05631912127137184,2.331960916519165,0.8232237696647644,0.49398040771484375,0.9366505742073059,0.9315853118896484,0.9113240838050842,0.9113240838050842,0.0,0.894469678401947
r2b2_029,1.3406453132629395,1.7926312685012817,0.8886594772338867,0.42505329847335815,0.5957101583480835,0.2543964385986328,1.1022388935089111,0.8568307757377625,0.37463054060935974,0.9477965831756592,0.9447558522224426,0.9325927495956421,0.9325927495956421,0.0,0.9196175336837769
r2b2_030,0.7013840675354004,0.6322415471076965,0.7705265283584595,0.1399196833372116,0.07674319297075272,0.2030961811542511,1.585128664970398,0.9020013213157654,0.40631914138793945,0.9559194445610046,0.9527188539505005,0.9399164915084839,0.9399164915084839,0.0,0.9280887246131897
