id,source,affinity_pred_value,prob_binary,confidence
ONS,round0_known,-1.8150708675384521,0.9659343957901001,0.9683119654655457
K5K,round0_known,-1.787034273147583,0.9501336216926575,0.9702744483947754
ONV,round0_known,-1.0162416696548462,0.812230110168457,0.9661033749580383
tg_011,tamgen_round1,-0.2674734592437744,0.4747779667377472,0.9214048385620117
r2_028,tamgen_round2,-0.05299733579158783,0.26667121052742004,0.9570390582084656
K58,round0_known,0.03515966236591339,0.8109084367752075,0.9683087468147278
CBR5884,round0_known,0.0696173757314682,0.6291985511779785,0.952357292175293
r2_008,tamgen_round2,0.21857035160064697,0.25367239117622375,0.9546768069267273
tg_014,tamgen_round1,0.2452394664287567,0.3686838746070862,0.9502239227294922
tg_008,tamgen_round1,0.3407995104789734,0.552780032157898,0.9646096229553223
r2_029,tamgen_round2,0.352780818939209,0.36735525727272034,0.9617666602134705
r2_007,tamgen_round2,0.45737749338150024,0.5989624261856079,0.9642942547798157
r2_003,tamgen_round2,0.45956671237945557,0.13349126279354095,0.9514297842979431
r2_067,tamgen_round2,0.4654088020324707,0.5293066501617432,0.9522804617881775
tg_006,tamgen_round1,0.4791901707649231,0.36370640993118286,0.9078285098075867
r2_064,tamgen_round2,0.5385687351226807,0.44451409578323364,0.9054780006408691
HMT,round0_known,0.5493262410163879,0.32460901141166687,0.9314315915107727
r2_034,tamgen_round2,0.5770092606544495,0.5872366428375244,0.9541007280349731
WQ2101,round0_known,0.5837525129318237,0.6284650564193726,0.9273731112480164
tg_001,tamgen_round1,0.5982728004455566,0.3429591655731201,0.9316507577896118
r2_024,tamgen_round2,0.6275516748428345,0.3594072461128235,0.9307084083557129
r2_063,tamgen_round2,0.6513286232948303,0.24175825715065002,0.9334084391593933
r2_066,tamgen_round2,0.6611392498016357,0.2512260973453522,0.9444987177848816
r2_013,tamgen_round2,0.6713250279426575,0.15457430481910706,0.9553661346435547
r2_039,tamgen_round2,0.708462119102478,0.2735176682472229,0.9461817741394043
r2_021,tamgen_round2,0.7158670425415039,0.3160737156867981,0.9270963072776794
r2_056,tamgen_round2,0.7217537760734558,0.3526945114135742,0.9640348553657532
r2_043,tamgen_round2,0.7250272631645203,0.5517923831939697,0.964500904083252
tg_002,tamgen_round1,0.7492130398750305,0.2603646516799927,0.9553903937339783
r2_059,tamgen_round2,0.7553210854530334,0.281133770942688,0.9665500521659851
r2_065,tamgen_round2,0.7555469870567322,0.18612061440944672,0.9324188232421875
tg_012,tamgen_round1,0.7619597911834717,0.5040438771247864,0.9263371825218201
r2_051,tamgen_round2,0.7700628042221069,0.6633357405662537,0.9367557764053345
tg_009,tamgen_round1,0.7741788625717163,0.5343284010887146,0.946418285369873
r2_025,tamgen_round2,0.8062518835067749,0.619748592376709,0.9500345587730408
r2_037,tamgen_round2,0.8297510147094727,0.4498140811920166,0.9570566415786743
r2_000,tamgen_round2,0.854988694190979,0.5411882996559143,0.955605149269104
r2_050,tamgen_round2,0.8623439073562622,0.20382945239543915,0.9449681639671326
NAI,round0_known,0.8789101839065552,0.6247870922088623,0.9712617993354797
r2_027,tamgen_round2,0.8980318307876587,0.2628244161605835,0.9197813868522644
r2_012,tamgen_round2,0.9056817889213562,0.19317463040351868,0.9530019164085388
r2_026,tamgen_round2,0.922487735748291,0.2354421615600586,0.955357551574707
r2_018,tamgen_round2,0.9342690110206604,0.4359230399131775,0.963349461555481
r2_069,tamgen_round2,0.9503081440925598,0.19185757637023926,0.9445209503173828
tg_003,tamgen_round1,0.9965405464172363,0.43211430311203003,0.9318704009056091
r2_022,tamgen_round2,1.0042939186096191,0.16686539351940155,0.940423309803009
r2_044,tamgen_round2,1.0087934732437134,0.18146367371082306,0.9430143237113953
r2_068,tamgen_round2,1.0166652202606201,0.18776154518127441,0.9356386065483093
r2_030,tamgen_round2,1.0273191928863525,0.49172449111938477,0.9529382586479187
r2_041,tamgen_round2,1.048201560974121,0.22145676612854004,0.9165560603141785
r2_023,tamgen_round2,1.05007803440094,0.3060302734375,0.9404746294021606
r2_057,tamgen_round2,1.0714316368103027,0.4030318260192871,0.9227210879325867
r2_004,tamgen_round2,1.08669114112854,0.17385467886924744,0.9521018266677856
tg_007,tamgen_round1,1.0945576429367065,0.2591390311717987,0.9317728877067566
r2_060,tamgen_round2,1.1005234718322754,0.1580144762992859,0.9455155730247498
tg_018,tamgen_round1,1.1034398078918457,0.391032874584198,0.9408193826675415
r2_061,tamgen_round2,1.12582528591156,0.22706228494644165,0.9479941725730896
r2_015,tamgen_round2,1.1362814903259277,0.1781499981880188,0.918559730052948
r2_062,tamgen_round2,1.1509134769439697,0.11966006457805634,0.9534225463867188
tg_015,tamgen_round1,1.1574842929840088,0.214162677526474,0.9564916491508484
tg_004,tamgen_round1,1.2044960260391235,0.18140286207199097,0.9301359057426453
r2_040,tamgen_round2,1.2161967754364014,0.23153145611286163,0.9158045649528503
r2_019,tamgen_round2,1.2230112552642822,0.4135354161262512,0.9698866009712219
r2_016,tamgen_round2,1.2358007431030273,0.12501288950443268,0.9497586488723755
r2_010,tamgen_round2,1.2573533058166504,0.2049717754125595,0.9456154704093933
r2_058,tamgen_round2,1.2758262157440186,0.1802237629890442,0.9298564791679382
r2_001,tamgen_round2,1.2770044803619385,0.3643168807029724,0.9482843279838562
r2_036,tamgen_round2,1.3036212921142578,0.22222788631916046,0.9505905508995056
r2_042,tamgen_round2,1.3423748016357422,0.14337977766990662,0.9604031443595886
tg_005,tamgen_round1,1.3490707874298096,0.18502193689346313,0.9596538543701172
r2_054,tamgen_round2,1.3611773252487183,0.15388527512550354,0.9469912648200989
r2_002,tamgen_round2,1.366060733795166,0.22192969918251038,0.945109486579895
r2_020,tamgen_round2,1.3726816177368164,0.17603084444999695,0.9460440874099731
tg_016,tamgen_round1,1.3732805252075195,0.17558470368385315,0.9562399983406067
r2_014,tamgen_round2,1.3787519931793213,0.10863269865512848,0.954535186290741
r2_053,tamgen_round2,1.43142831325531,0.38803717494010925,0.9527592658996582
r2_006,tamgen_round2,1.4785351753234863,0.34546658396720886,0.9183063507080078
tg_017,tamgen_round1,1.513646125793457,0.2003578245639801,0.9435411691665649
tg_000,tamgen_round1,1.5626554489135742,0.30604010820388794,0.945076584815979
r2_038,tamgen_round2,1.5632085800170898,0.2721793055534363,0.9521194696426392
r2_033,tamgen_round2,1.5703024864196777,0.20967456698417664,0.9611421823501587
r2_048,tamgen_round2,1.6016242504119873,0.1535102128982544,0.9594690203666687
r2_031,tamgen_round2,1.623460292816162,0.13289836049079895,0.9408095479011536
NCT503,round0_known,1.6239304542541504,0.2899117171764374,0.9410605430603027
tg_019,tamgen_round1,1.6816880702972412,0.28023087978363037,0.9609163403511047
r2_017,tamgen_round2,1.7138117551803589,0.29207390546798706,0.9609646201133728
r2_035,tamgen_round2,1.722524642944336,0.1582137942314148,0.9516076445579529
tg_010,tamgen_round1,1.7378323078155518,0.20421329140663147,0.9437867999076843
r2_005,tamgen_round2,1.7616783380508423,0.08691998571157455,0.9431681632995605
r2_052,tamgen_round2,1.8114943504333496,0.35767704248428345,0.9353532195091248
r2_046,tamgen_round2,1.8133022785186768,0.14629238843917847,0.9464226961135864
r2_045,tamgen_round2,1.8156473636627197,0.2176342010498047,0.8850114941596985
r2_009,tamgen_round2,1.8161619901657104,0.1528504490852356,0.953823983669281
r2_055,tamgen_round2,1.8471777439117432,0.2131192982196808,0.9429349303245544
r2_032,tamgen_round2,1.8655881881713867,0.2301628589630127,0.9351344108581543
r2_011,tamgen_round2,1.86867094039917,0.16319844126701355,0.9586472511291504
3PG,round0_known,1.88699209690094,0.48329633474349976,0.944013237953186
r2_047,tamgen_round2,1.9058523178100586,0.20397506654262543,0.9582066535949707
tg_013,tamgen_round1,1.9460175037384033,0.2455340325832367,0.9580956697463989
r2_049,tamgen_round2,2.4721131324768066,0.12081638723611832,0.9162673950195312
