id,source,affinity_pred_value,prob_binary,confidence
ONS,round0_known,-1.8150708675384521,0.9659343957901001,0.9683119654655457
K5K,round0_known,-1.787034273147583,0.9501336216926575,0.9702744483947754
ONV,round0_known,-1.0162416696548462,0.812230110168457,0.9661033749580383
tg_011,tamgen_round1,-0.2674734592437744,0.4747779667377472,0.9214048385620117
K58,round0_known,0.03515966236591339,0.8109084367752075,0.9683087468147278
CBR5884,round0_known,0.0696173757314682,0.6291985511779785,0.952357292175293
tg_014,tamgen_round1,0.2452394664287567,0.3686838746070862,0.9502239227294922
tg_008,tamgen_round1,0.3407995104789734,0.552780032157898,0.9646096229553223
tg_006,tamgen_round1,0.4791901707649231,0.36370640993118286,0.9078285098075867
HMT,round0_known,0.5493262410163879,0.32460901141166687,0.9314315915107727
WQ2101,round0_known,0.5837525129318237,0.6284650564193726,0.9273731112480164
tg_001,tamgen_round1,0.5982728004455566,0.3429591655731201,0.9316507577896118
tg_002,tamgen_round1,0.7492130398750305,0.2603646516799927,0.9553903937339783
tg_012,tamgen_round1,0.7619597911834717,0.5040438771247864,0.9263371825218201
tg_009,tamgen_round1,0.7741788625717163,0.5343284010887146,0.946418285369873
NAI,round0_known,0.8789101839065552,0.6247870922088623,0.9712617993354797
tg_003,tamgen_round1,0.9965405464172363,0.43211430311203003,0.9318704009056091
tg_007,tamgen_round1,1.0945576429367065,0.2591390311717987,0.9317728877067566
tg_018,tamgen_round1,1.1034398078918457,0.391032874584198,0.9408193826675415
tg_015,tamgen_round1,1.1574842929840088,0.214162677526474,0.9564916491508484
tg_004,tamgen_round1,1.2044960260391235,0.18140286207199097,0.9301359057426453
tg_005,tamgen_round1,1.3490707874298096,0.18502193689346313,0.9596538543701172
tg_016,tamgen_round1,1.3732805252075195,0.17558470368385315,0.9562399983406067
tg_017,tamgen_round1,1.513646125793457,0.2003578245639801,0.9435411691665649
tg_000,tamgen_round1,1.5626554489135742,0.30604010820388794,0.945076584815979
NCT503,round0_known,1.6239304542541504,0.2899117171764374,0.9410605430603027
tg_019,tamgen_round1,1.6816880702972412,0.28023087978363037,0.9609163403511047
tg_010,tamgen_round1,1.7378323078155518,0.20421329140663147,0.9437867999076843
3PG,round0_known,1.88699209690094,0.48329633474349976,0.944013237953186
tg_013,tamgen_round1,1.9460175037384033,0.2455340325832367,0.9580956697463989
