input_id,affinity_affinity_pred_value,affinity_affinity_pred_value1,affinity_affinity_pred_value2,affinity_affinity_probability_binary,affinity_affinity_probability_binary1,affinity_affinity_probability_binary2,confidence_complex_ipde,confidence_complex_iplddt,confidence_complex_pde,confidence_complex_plddt,confidence_confidence_score,confidence_iptm,confidence_ligand_iptm,confidence_protein_iptm,confidence_ptm
GAPDH__K58,1.1094350814819336,0.7381123900413513,1.4807578325271606,0.4647412896156311,0.6033639311790466,0.3261186182498932,2.474238157272339,0.7778738141059875,0.4331347346305847,0.9523668885231018,0.9291458129882812,0.8362617492675781,0.8362617492675781,0.0,0.9663422107696533
GAPDH__ONV,0.9894005060195923,0.6528570652008057,1.325943946838379,0.301486611366272,0.29480481147766113,0.3081684112548828,1.6124725341796875,0.8315044641494751,0.4038778841495514,0.9570733904838562,0.9511737823486328,0.9275755882263184,0.9275755882263184,0.0,0.9722506403923035
GAPDH__b1_112,-0.7969475984573364,-0.9310861229896545,-0.6628091335296631,0.06383274495601654,0.056584350764751434,0.07108114659786224,1.8043137788772583,0.6714383363723755,0.41325634717941284,0.9262487888336182,0.9239197969436646,0.9146035313606262,0.9146035313606262,0.0,0.9716799259185791
GAPDH__K5K,0.16676324605941772,0.7382456660270691,-0.40471917390823364,0.39853423833847046,0.4276904761791229,0.3693779706954956,1.4094237089157104,0.862021803855896,0.3994198441505432,0.9601271748542786,0.9545698165893555,0.9323403835296631,0.9323403835296631,0.0,0.9729382991790771
GAPDH__b1_005,0.815648078918457,1.0941762924194336,0.5371198058128357,0.608931303024292,0.7654913663864136,0.4523712992668152,1.4199693202972412,0.6735249757766724,0.36534035205841064,0.9338862895965576,0.9350072145462036,0.9394909739494324,0.9394909739494324,0.0,0.9755199551582336
GAPDH__r2b2_107,0.7487322688102722,0.9668723344802856,0.5305922031402588,0.2696879804134369,0.12578041851520538,0.4135955572128296,2.1818723678588867,0.5931746959686279,0.4812576174736023,0.9054367542266846,0.8982681632041931,0.8695938587188721,0.8695938587188721,0.0,0.9649832248687744
GAPDH__NCT503,1.5590921640396118,0.8904423117637634,2.2277419567108154,0.35732120275497437,0.42013049125671387,0.29451191425323486,5.245009422302246,0.5105122923851013,0.5301689505577087,0.9112908840179443,0.8720270991325378,0.7149718403816223,0.7149718403816223,0.0,0.9534242749214172
GAPDH__b1_051,0.4942435026168823,0.6790306568145752,0.30945631861686707,0.5640634298324585,0.7354928255081177,0.39263400435447693,1.408817172050476,0.816142737865448,0.3618953824043274,0.9539735317230225,0.9502999186515808,0.9356053471565247,0.9356053471565247,0.0,0.9738934636116028
GAPDH__r2b2_285,0.07748892903327942,0.8384701013565063,-0.6834922432899475,0.3243880271911621,0.1778603345155716,0.47091570496559143,2.0172274112701416,0.6859220266342163,0.49322301149368286,0.9170591831207275,0.9107056856155396,0.8852917551994324,0.8852917551994324,0.0,0.9662008881568909
GAPDH__ONS,-0.013179391622543335,-0.1705796867609024,0.14422090351581573,0.28966671228408813,0.2714150547981262,0.30791833996772766,1.9771865606307983,0.8226563334465027,0.4440695345401764,0.9506393671035767,0.9432161450386047,0.9135231971740723,0.9135231971740723,0.0,0.9698277115821838
GAPDH__b1_058,-0.8031771183013916,-0.5012707710266113,-1.1050834655761719,0.18453988432884216,0.24599504470825195,0.12308470904827118,2.0539305210113525,0.705033540725708,0.4418022036552429,0.9344172477722168,0.9217931032180786,0.8712963461875916,0.8712963461875916,0.0,0.9666092395782471
