ligand,PHGDH,GAPDH,MDH2,LDH-A,IDH1,min_off,selectivity_index,interpretation
K58,-1.0,1.3647472858428955,1.6176044940948486,1.7630877494812012,1.5434374809265137,1.3647472858428955,-2.3647472858428955,STRONG selectivity for PHGDH
K5K,-1.79,0.0030025243759155273,0.1319027841091156,0.2120775282382965,-0.16665630042552948,-0.16665630042552948,-1.6233436995744706,STRONG selectivity for PHGDH
NCT503,-0.3,1.4337786436080933,1.5598056316375732,1.5670591592788696,1.1637468338012695,1.1637468338012695,-1.4637468338012696,STRONG selectivity for PHGDH
ONS,-1.82,-1.056512475013733,-0.9503507614135742,-0.34270021319389343,-0.05293796956539154,-1.056512475013733,-0.7634875249862672,modest selectivity for PHGDH
ONV,-1.02,1.0884006023406982,0.5565317273139954,0.7479779720306396,0.11116519570350647,0.11116519570350647,-1.1311651957035065,STRONG selectivity for PHGDH
b1_005,-0.39,0.7113425135612488,-0.08809692412614822,0.3056415617465973,-0.07134746015071869,-0.08809692412614822,-0.3019030758738518,modest selectivity for PHGDH
b1_051,-0.48,0.39611077308654785,0.2641329765319824,0.1812085509300232,-0.07388743758201599,-0.07388743758201599,-0.406112562417984,modest selectivity for PHGDH
b1_058,-0.65,-0.603751540184021,0.13464252650737762,-0.42747634649276733,0.3909357786178589,-0.603751540184021,-0.046248459815979026,weak preference for PHGDH
b1_112,-0.37,-0.8530644178390503,-0.4508344829082489,-0.2848130762577057,-0.3970862925052643,-0.8530644178390503,0.4830644178390503,NON-SELECTIVE
r2b2_107,-0.66,-0.49840623140335083,0.6458878517150879,0.2340371161699295,-0.19061517715454102,-0.49840623140335083,-0.1615937685966492,weak preference for PHGDH
r2b2_285,-0.56,0.23053498566150665,1.3929632902145386,0.007305234670639038,0.19759392738342285,0.007305234670639038,-0.5673052346706391,modest selectivity for PHGDH
