ligand,PHGDH,LDH_A,MDH2,GAPDH,IDH1,GRK5,GRK2,dehyd_sel_idx,kinase_sel_idx,combined_sel_idx
b4_036,-0.1411508321762085,0.3047827184200287,0.7271199226379395,0.03510339558124542,-0.43607693910598755,-0.19949837028980255,-0.2621343731880188,0.29,0.12,0.42
b4_095,-0.85821133852005,-0.3729090094566345,-0.35450124740600586,-0.5076335668563843,-0.45943135023117065,-0.15508052706718445,-0.2112566977739334,-0.35,-0.65,-1.0
b4_097,-0.3717852234840393,0.4114700257778168,0.21875989437103271,0.578189492225647,-0.07599537074565887,0.31440234184265137,-0.004352346062660217,-0.3,-0.37,-0.66
b4_112,-1.0154191255569458,-0.9351743459701538,-0.29695361852645874,-1.4676457643508911,-1.1310311555862427,-0.210734561085701,-0.3985620141029358,0.45,-0.62,-0.16
b4_159,-0.18589314818382263,-0.22099950909614563,-0.5962387323379517,-0.6773719787597656,0.515653133392334,-1.2203259468078613,-0.7715612649917603,0.49,1.03,1.53
